path,side,rationale,open_question
scripts/paper/,algo,"run-paper-session.ts; paper trading runner",
scripts/preflight/,algo,"qfa-612-paper-01b broker preflight checks; broker adapter validation",
scripts/regime/,algo,"Regime substrate / fidelity tooling for backtester",
scripts/rel/,algo,"REL-00/01 controlled live-sim release scripts; strategy_runtime journal-based",
scripts/research/,algo,"Rithmic timestamp + MBP10 audit + databento overlap parity research scripts",
scripts/scalp/,algo,"run-scalp-pipeline.ps1; wraps services/scalp_models pipeline",
scripts/sim/,algo,"Sim03 calibration + validation Python scripts for backtester",
scripts/spikes/,algo,"qfa-612-direct-websocket broker spike",
scripts/strategy-selection/,algo,"qfa-611 strategy selection / dress rehearsal scripts",
scripts/check-forbidden-imports.mjs,shared,"Import-boundary linter; useful in both repos to enforce module borders",
scripts/check-python-syntax.mjs,shared,"Python syntax precommit check; useful in both repos",
scripts/launch_mnq_dashboard_shell.ps1,dashboard,"Launches the Tauri shell from Start-MNQ-Dashboard.cmd",
scripts/qfa-410b-execute.mts,algo,"QFA-410b execution script; backtester pipeline",
contracts/realtime/,dashboard,"events.py/ts + mock_emitter; consumed by realtime_backend, notification_daemon, dashboard_ui. ONE algo consumer (services/replay/runner.py imports SignalPayload+Tier). Per plan, only obs01_schema is shared","Vendor a slim copy into algo just for replay, or strip the import from replay?"
contracts/__init__.py,dashboard,"Namespace package marker for contracts.realtime",
contracts/.mypy_cache/,dispose,"~9 MB of mypy cache db files; should be gitignored",
contracts/realtime/.mypy_cache/,dispose,"~9 MB more mypy cache; should be gitignored. Together these are the 18 MB in contracts/",
contracts/realtime/__pycache__/,dispose,"Python bytecode cache; should be gitignored",
docs/adr/,shared,"Architecture Decision Records cover both products (canonical event time, MBO taxonomy, walk-forward, validation gate, regime substrate). Keep history in both",
docs/audit/,dashboard,"operator-console-readiness.md - if operator_console is dropped, can dispose","Move with operator_console resolution"
docs/config/,algo,"CFG-01-risk-management-lineage - risk policy lineage for strategy runtime",
docs/configuration.md,shared,"Top-level configuration overview; relevant to both",
docs/data/,algo,"DATA-01..07 corpus, feature-availability-mask, microstructure features - backtester-side data lineage",
docs/infra/,algo,"INFRA-01/03 + databento overlap parity + MBO parity + MBP10 extraction audit - backtester data infra",
docs/management/,algo,"MGMT-01..03 management plane docs for strategy runtime",
docs/ml/,algo,"ML-GPU-00 GPU environment for scalp_models",
docs/observability/,dashboard,"OBS-00 / OBS-01 / OBS-04 - obs01 envelope spec is dashboard-produced; partial shared","Move OBS-01 spec to shared docs along with obs01_schema?"
docs/operator/,dispose,"CONSOLE-05-RUNBOOK / TUI-01..04 - operator_console + deprecated TUI docs","Move with operator_console resolution"
docs/orchestration/,algo,"ORCH-01/02 strategy orchestration",
docs/plan/,shared,"Mix: repo-split-2026-06-03.md is meta, cycle4 dispatch packets are algo, master plan v6 covers everything. Easier to keep history in both initially","Worth splitting plan docs later?"
docs/release/,algo,"REL-00..01 controlled live-sim release runbooks; MBO shadow evidence",
docs/research/,algo,"RSRCH-00 + qfa-119/201/212 research docs for backtester",
docs/risk/,algo,"RISK-01/02/03 risk policy docs",
docs/session/,shared,"MNQ-01 session calendar - relevant to both (dashboard session boundaries + algo trading hours)",
docs/sim/,algo,"SIM-01..03 simulator docs for backtester",
docs/strategies/,algo,"STRAT-00..07 strategy spec docs",
docs/transport/,dashboard,"EVT-00/01 event transport - realtime contract/transport layer",
docs/RUNBOOK-backtester.md,algo,"Backtester runbook",
docs/phase0-data-foundation-closeout.md,algo,"Phase 0 data foundation closeout; backtester data lineage",
docs/scalp_strategy_for_review.md,algo,"Scalp strategy review doc for scalp_models",
config/strategies/,algo,"Strategy YAML definitions (12 strategies: breakout, sweep, regime, vwap, trend); consumed by strategy_runtime + backtester",
config/session/,shared,"MNQ session + roll calendars; relevant to both dashboard (session boundaries) and algo (trading windows)",
config/research/,algo,"Economic calendar + VIX/VXN daily for backtester research",
config/risk/,algo,"risk-policy.yaml for strategy runtime",
config/management/,algo,"profiles.yaml management plane config",
config/paper/,algo,"Paper trading defaults",
config/sim03/,algo,"Sim03 corpus integrity thresholds + session list",
config/app.example.json,shared,"App-level config template; keep in both",
config/operator-live-sim.local.json,dispose,"Operator-console local config; tied to operator_console fate","Move with operator_console resolution"
config/venue-costs.json,algo,"Venue/exchange cost model for backtester+paper",
broker_session_sidecar/,dispose,"Root-level 2-file shim (__init__.py + __main__.py) that just re-exports services/broker_session_sidecar to enable 'python -m broker_session_sidecar' from repo root. Real code lives at services/broker_session_sidecar/. Keep services/ copy, drop root shim (or recreate in algo repo if the launch ergonomic is needed)",
Start-MNQ-Dashboard.cmd,dashboard,"Launches the Tauri dashboard shell via scripts/launch_mnq_dashboard_shell.ps1",
run_live_realtime_stack.ps1,dashboard,"Launches live dashboard stack: realtime_backend + analytics upkeep loop. Top-level entry per README",
run_realtime_stack.ps1,dashboard,"RA-068 launches realtime_backend + dashboard_ui Vite dev server + notification_daemon (older variant of run_live_realtime_stack)",
post_capture_rotate.ps1,dashboard,"Refreshes RTH envelope + tail-cap calibration in tools/rithmic_analytics + bounces tools/rithmic_dashboard backend; dashboard analytics refresh",
end_of_session_pipeline.ps1,algo,"Chained pipeline: post_capture_rotate -> replay.cli -> backtester forward-return-labels -> scalp_models score+evaluate. Crosses repo boundary but primary purpose is algo shadow-mode scoring","Split into 2 scripts? Dashboard side runs post_capture_rotate, algo side runs replay+labels+score+evaluate"
score_and_evaluate.ps1,algo,"Runs scalp_models score + evaluate against session predictions",
README.md,shared,"Top-level README; rewrite per repo or vendor as 'historic' README",
package.json,dashboard,"Root npm workspaces config; current workspaces are all apps/operator_console/*. Will need rewrite per repo. Heavier dependence on dashboard side now","Will be regenerated per repo; this row tracks the original"
package-lock.json,dashboard,"Lockfile for root package.json",
tsconfig.json,shared,"Project references config; will need regen per repo",
tsconfig.base.json,shared,"Base TS compiler options; both repos can copy",
vitest.config.ts,shared,"Test config covers backtester+strategy_runtime+operator_console; will split",
.gitignore,shared,"Both repos need a .gitignore; copy + adapt",
.gitattributes,shared,"Line-ending rules; copy to both",
artifacts/,dispose,"Build artifacts: held-out-validation/, regime/, regime-fidelity/, strategy-selection/. Should be gitignored","Confirm: is anything in artifacts/ a versioned input vs. computed output?"
dist/,dispose,"tsbuild output directory; gitignore",
node_modules/,dispose,"Always gitignored",
data/,dispose,"Live data dir (trades/, captures/, etc.) - per repo-split policy data stays out of git, lives only in operator's working dir",
logs/,dispose,"Runtime logs; gitignore",
scratch/,dispose,"Scratch directory; gitignore",
.tmp/,dispose,"Temporary build outputs; gitignore",
.cache/,dispose,"Cache; gitignore",
.mypy_cache/,dispose,"mypy cache; gitignore",
.pytest_cache/,dispose,"pytest cache; gitignore",
.ruff_cache/,dispose,"ruff cache; gitignore",
.operator-console/,dispose,"operator_console checkpoint + quarantine state; gitignore (and tied to operator_console fate)",
legacy_reference/,dispose,"python-market-data-service + src/ reference code from earlier phase; confirmed safe to dispose per plan",
legacy_seed/,dispose,"ts/ seed code from earlier phase; confirmed safe to dispose per plan",
.github/,shared,"CI workflows; both repos need their own copy + adapt",
.env,dispose,"Local secrets; never commit. Both repos will have their own .env",
